d_role,innings,games,era,p_id,p_name
RP,5.2,4,1.59,14,Nick Anderson
RP,5.2,4,0,15,Diego Castillo
RP,3,2,6,16,Oliver Drake
SP,7,2,7.71,17,Tyler Glasnow
SP,1.1,3,0,18,Brendan McKay
SP,10,2,0.9,19,Charlie Morton
RP,3,4,6,20,Emilio Pagan
RP,4.1,5,2.08,21,Colin Poche
RP,2.2,3,6.75,22,Chaz Roe
SP,5.1,3,1.69,23,Blake Snell
RP,3,3,0,24,Ryan Yarbrough
RP,0.1,1,0,12,Jake Diekman
RP,1,1,0,13,Laim Hendriks
RP,3,1,0,14,Jesus Luzardo
SP,2,1,18,15,Sean Manaea
RP,2.2,1,3.38,16,Yusmerio Petit
SP,4,1,2.25,12,Jose Berrios
SP,2,1,18,13,Randy Dobnak
RP,1.2,2,21.6,14,Tyler Duffey
SP,1,1,27,15,Kyle Gibson
RP,1,1,0,16,Brusdar Graterol
RP,0.1,2,54,17,Zack Littell
RP,1,2,0,18,Trevor May
SP,5,1,3.6,19,Jake Odorizzi
RP,2,1,4.5,20,Taylor Rogers
RP,2,2,9,21,Sergio Romo
SP,3.1,1,0,22,Devin Smeltzer
RP,1.2,2,10.8,23,Cody Stashak
RP,8,7,1.13,12,Zack Britton
RP,4,2,0,13,Luis Cessa
RP,5.1,5,3.38,14,Aroldis Chapman
RP,6.2,6,6.75,15,Chad Green
SP,3.2,3,2.46,16,J.A Happ
RP,8,8,2.25,17,Tommy Kahnle
RP,2.2,4,3.38,18,Jonathan Loaisiga
RP,1.2,2,0,19,Tyler Lyons
RP,3.1,8,8.1,20,Adam Ottavino
SP,13,3,3.46,21,James Paxton
SP,1,2,0,22,CC Sabathia
SP,8.1,2,2.16,23,Luis Severino
SP,16,3,2.25,24,Masahiro Tanaka
SP,36.2,5,1.72,14,Gerrit Cole
RP,3,3,9,15,Chris Devenski
SP,25,5,4.68,16,Zack Greinke
RP,9.2,12,1.86,17,Will Harris
RP,6.2,9,5.4,18,Josh James
RP,10,9,3.6,19,Roberto Osuna
SP,5.2,5,3.18,20,Brad Peacock
RP,5.2,10,11.12,21,Ryan Pressly
RP,1.1,4,6.75,22,Hector Rondon
RP,8.2,10,3.12,23,Joe Smith
SP,10,4,0.9,24,Jose Urquidy
SP,35.1,6,4.33,25,Justin Verlander